sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
MB.4993	0.088243539	0.105489498	0.182082637	0.108320808	0.064431944	0.479829537
MB.5222	0.177454993	0.170302351	0.253879417	0.13734915	0.055103501	0.560357897
MB.5232	0.092881663	0.134521386	0.186942947	0.123699599	0.059682829	0.497645211
MB.5126	0.128103912	0.149516502	0.192381539	0.112868554	0.027033732	0.498277708
MB.5145	0.134651406	0.129128607	0.193260612	0.124228391	0.0349622	0.484642642
MB.4938	0.066179605	0.115131469	0.151833364	0.114430767	0.046759758	0.47114449
MB.5070	0.137897762	0.139112665	0.168697694	0.133085201	0.064525802	0.508299219
MB.4992	0.074186668	0.108570566	0.176249069	0.11495726	0.042877119	0.44862594
MB.5392	0.087787606	0.152120171	0.228694572	0.132529214	0.067110672	0.526823303
MB.5138	0.118512954	0.160895243	0.192602498	0.136100451	0.035083484	0.505803003
MB.5065	0.126634377	0.159246712	0.257056538	0.140789727	0.071220684	0.558987858
MB.5058	0.103732627	0.116458749	0.198234269	0.11335354	0.082071061	0.489744286
MB.5258	0.06614506	0.126479395	0.143145694	0.114398614	0.031617424	0.479325143
MB.5421	0.082223387	0.133547952	0.163114299	0.113338455	0.037998757	0.470559342
MB.5348	0.120104832	0.137167486	0.223775781	0.128319788	0.041228618	0.528444978
MB.5299	0.09209722	0.133740853	0.165747977	0.12095984	0.029861939	0.476400398
MB.5408	0.136318464	0.145471073	0.291216747	0.142529616	0.098240049	0.557184975
MB.5100	0.123117687	0.176166888	0.2243361	0.13099756	0.037110899	0.542513558
MB.5325	0.085117235	0.140822888	0.194318185	0.129925146	0.059733375	0.507212301
MB.5446	0.080194685	0.109194003	0.175043565	0.105751749	0.062534908	0.472455165
MB.5137	0.11784501	0.154458921	0.224180137	0.125629575	0.044102605	0.535446712
MB.5427	0.065698291	0.103482255	0.139410192	0.099780381	0.020307928	0.407528279
MB.5387	0.102861022	0.12448504	0.196654223	0.11701858	0.036593578	0.477818376
MB.5390	0.073535684	0.11452606	0.162271144	0.117135994	0.040861274	0.466822789
MB.5209	0.113300735	0.150868896	0.207184204	0.129224395	0.002755179	0.506169908
MB.5213	0.089427526	0.119020451	0.175311465	0.123599597	0.052241326	0.499608924
MB.5109	0.068971195	0.108460324	0.170824666	0.106210427	0.042570063	0.455563481
MB.5076	0.091110418	0.139683272	0.157510935	0.112722905	0.017929937	0.481109379
MB.5223	0.113615151	0.146491047	0.249316877	0.122507545	0.058575747	0.535108616
MB.5616	0.096157928	0.155077003	0.221654762	0.151895703	0.057601432	0.527278179
MB.5625	0.060402481	0.117524101	0.161108745	0.107457898	0.041283151	0.483020481
MB.5602	0.115312418	0.168301222	0.209275468	0.125310096	0.074880818	0.516803684
MB.5634	0.109017112	0.153001914	0.19430969	0.136647752	0.03112624	0.532700967
MB.5651	0.089816567	0.156885676	0.207335782	0.125475395	0.060846963	0.520310846
MB.5548	0.088581979	0.133947592	0.195663592	0.126144266	0.075752973	0.498398077
MB.5526	0.129081365	0.146208108	0.197090101	0.11606365	0.045314945	0.499774759
MB.5531	0.110198325	0.152852611	0.17510465	0.128371847	0.072011874	0.52169247
